SKU,X,Y,Z,Length,Width,Height,Rotated
702392,10,10,0,550,400,220,False
704040,560,10,0,500,300,320,False
704515,10,410,0,500,300,310,False
747093,510,410,0,510,310,210,False
754230,10,710,0,500,240,270,False
767136,510,720,0,450,270,220,False
705911,1020,410,0,180,300,290,True
704049,1020,710,0,180,290,290,True
724016,1060,10,0,140,210,200,True
723017,20,20,320,580,260,190,False
704944,600,20,320,310,250,340,False
785841,20,280,320,500,250,210,False
705889,520,280,320,510,240,200,False
755655,520,520,320,510,240,200,False
762267,20,530,320,480,250,180,False
747086,520,760,320,510,210,200,False
704801,20,780,320,390,200,210,False
704028,1030,280,320,170,300,290,True
741170,910,20,320,290,220,230,False
700734,1030,580,320,170,320,250,True
727177,30,30,660,380,260,210,False
754323,410,30,660,450,250,180,False
765093,30,290,660,450,250,180,False
749089,860,30,660,310,250,260,False
780770,480,290,660,370,280,170,False
711175,30,540,660,420,320,130,False
765046,850,290,660,280,380,160,True
718245,480,570,660,290,290,200,False
705900,850,670,660,180,300,290,True
792284,30,860,660,250,130,160,False
767207,480,860,660,240,130,90,False
763100,40,40,950,420,320,120,False
737309,460,40,950,470,310,110,False
763598,40,360,950,380,280,150,False
759180,420,360,950,300,180,290,False
708680,40,640,950,300,180,290,False
743269,720,360,950,370,190,220,False
775678,720,550,950,340,250,180,False
739232,420,540,950,260,410,140,True
799963,930,40,950,260,250,210,False
795060,720,800,950,310,180,180,False
714798,40,820,950,280,150,200,False
737255,50,50,1240,360,270,150,False
739101,410,50,1240,360,270,150,False
762546,50,320,1240,420,310,110,False
746430,770,50,1240,350,270,140,False
746430,470,320,1240,350,270,140,False
747087,820,320,1240,200,440,150,True
723622,50,630,1240,360,270,120,False
794918,470,590,1240,350,260,120,False
736390,1020,320,1240,160,320,190,True
720141,470,850,1240,210,150,140,False
761453,60,60,1430,350,270,110,False
761453,410,60,1430,350,270,110,False
746742,60,330,1430,370,200,140,False
762781,760,60,1430,300,230,150,False
764630,430,330,1430,360,260,110,False
724354,60,530,1430,340,260,110,False
772900,790,330,1430,340,260,110,False
751266,430,590,1430,360,270,100,False
747176,60,790,1430,310,170,180,False
737519,790,590,1430,330,260,110,False
775554,70,70,1610,270,200,170,False
765975,70,270,1610,330,250,110,False
740757,400,270,1610,310,240,120,False
701081,70,520,1610,310,230,120,False
701080,710,270,1610,310,230,120,False
767742,400,510,1610,310,230,120,False
767742,70,750,1610,310,230,120,False
767727,710,500,1610,310,230,120,False
717942,400,740,1610,310,230,120,False
729949,710,730,1610,280,210,110,False
704054,80,80,1780,370,280,80,False
786442,450,80,1780,320,210,120,False
786442,80,360,1780,320,210,120,False
798439,770,80,1780,280,210,100,False
765357,400,360,1780,280,210,90,False

ExecutionTime,0.001 seconds
FillRate,51.58%
