SKU,X,Y,Z,Len,Wid,Hgt,Rot
704305,0,0,0,410,550,220,True
745694,410,0,0,250,510,200,True
755655,660,0,0,240,510,200,True
700033,900,0,0,300,220,130,False
733228,900,220,0,210,280,110,True
770750,0,550,0,250,450,160,True
797724,250,550,0,140,250,150,True
783128,410,550,0,190,450,170,True
768555,600,550,0,220,440,90,True
703951,820,550,0,370,280,80,False
700125,820,550,90,280,420,80,True
739232,0,0,220,410,260,140,False
785841,410,0,220,250,500,210,True
747075,660,0,220,200,500,210,True
772900,860,0,220,340,260,110,False
739136,0,260,220,410,270,110,False
732348,860,260,220,230,240,90,True
755958,0,550,220,410,140,200,False
780662,410,550,220,200,440,160,True
771405,610,550,220,190,440,160,True
747087,800,550,220,200,440,150,True
782997,1000,550,220,180,260,130,True
740702,0,690,220,390,310,160,False
732090,860,0,330,110,260,90,True
731999,860,260,330,280,210,90,False
766175,0,0,360,350,260,140,False
704883,0,260,360,200,290,290,True
731408,200,260,360,210,280,150,True
704603,410,550,380,200,390,210,True
770657,610,550,380,320,420,130,True
759064,930,550,380,270,360,120,True
769885,0,550,420,410,140,190,False
744924,0,690,420,250,310,260,True
708176,250,690,420,140,310,180,True
764136,410,0,430,250,480,180,True
601032,660,0,430,310,470,120,True
603418,970,0,430,230,310,120,True
750826,0,0,500,350,230,160,False
768463,200,260,510,210,280,110,True
739139,610,550,510,280,420,110,True
704314,930,550,510,270,200,300,False
741172,930,750,510,250,190,210,False
774924,660,0,550,310,250,260,False
737714,970,0,550,230,310,230,True
704584,660,250,550,310,210,200,False
705900,410,550,590,180,300,290,True
704128,410,0,610,250,390,150,True
765046,610,550,620,280,380,160,True
767744,200,260,650,210,280,90,True
705165,0,0,660,310,230,140,False
704589,0,690,680,210,310,200,True
726985,410,0,760,250,330,130,True
772302,970,0,780,210,310,200,True
766036,610,550,780,210,380,150,True
748201,0,0,800,310,210,190,False
700392,660,0,810,310,230,120,False
765941,410,0,890,250,330,110,True
733145,660,0,930,310,230,120,False
785166,610,550,930,210,320,120,True
737147,410,0,1000,230,310,120,True
756512,660,0,1050,310,230,120,False
767670,410,0,1120,230,310,120,True

Execution,0.003s
Fill,54.79%
