SKU,X,Y,Z,Length,Width,Height,Rotated
779218,0,0,0,550,350,200,False
747090,550,0,0,500,350,200,False
703673,1050,0,0,150,350,200,True
707290,0,350,0,450,350,150,False
767325,450,350,0,450,350,150,False
705451,900,350,0,300,350,150,True
765577,0,700,0,500,250,100,False
722273,500,700,0,450,250,200,False
739742,950,700,0,250,200,100,False
770564,0,0,200,450,350,150,False
783589,450,0,200,450,350,150,False
739054,900,0,200,300,350,150,True
738765,0,350,200,400,300,150,False
739103,400,350,200,400,300,150,False
764630,800,350,200,400,300,150,False
739912,0,650,200,300,350,150,True
791935,300,650,200,300,350,150,True
703896,600,650,200,400,250,150,False
752322,0,0,350,450,350,250,False
740702,450,0,350,400,350,200,False
742076,850,0,350,350,300,250,False
785841,0,350,350,500,250,250,False
747075,500,350,350,500,200,250,False
703205,0,600,350,300,400,250,True
721355,300,600,350,300,400,250,True
733674,600,600,350,300,400,200,True
765033,900,600,350,300,400,200,True
770122,0,0,600,450,200,250,False
756546,450,0,600,450,200,200,False
740096,900,0,600,300,200,100,False
601472,0,200,600,300,300,250,False
704002,300,200,600,350,250,250,False
741176,650,200,600,350,250,250,False
794621,1000,200,600,150,250,250,True
761673,0,500,600,250,350,250,True
708262,0,850,600,350,150,200,False
743755,350,850,600,300,150,150,False
786457,650,850,600,300,150,150,False
747058,950,850,600,250,150,200,False
769670,250,500,600,250,350,250,True
703438,500,500,600,250,350,200,True
704598,750,500,600,250,350,200,True
707776,1000,500,600,200,350,200,True
704539,0,0,850,350,250,150,False
735116,350,0,850,350,250,150,False
749066,700,0,850,350,250,150,False
753143,0,250,850,350,250,150,False
765131,350,250,850,350,250,150,False
768543,700,250,850,350,250,150,False
771117,0,500,850,350,250,150,False
774627,350,500,850,350,250,150,False
774627,700,500,850,350,250,150,False
778653,0,750,850,350,250,150,False
786417,350,750,850,350,250,150,False
712748,700,750,850,350,250,100,False
704514,0,0,1000,500,300,300,False
782716,500,0,1000,450,300,300,False
740727,950,0,1000,250,300,150,True
707171,0,300,1000,350,250,200,False
733729,350,300,1000,350,250,200,False
754596,700,300,1000,350,250,200,False
772224,0,550,1000,350,250,200,False
779923,350,550,1000,350,250,200,False
748648,700,550,1000,300,250,150,False
769982,0,800,1000,350,200,200,False
704049,350,800,1000,300,200,300,False

ExecutionTime,0.002 seconds
FillRate,79.19%
