SKU,X,Y,Z,Length,Width,Height,Rotated
737309,0,0,0,500,350,150,False
739512,500,0,0,500,350,150,False
782997,1000,0,0,200,300,150,True
762673,0,350,0,450,350,150,False
792532,450,350,0,450,350,150,False
738991,900,350,0,300,350,150,True
739139,0,700,0,450,300,150,False
774621,450,700,0,450,300,100,False
733724,900,700,0,300,250,150,False
767885,0,0,150,550,350,200,False
752304,550,0,150,450,350,200,False
775859,1000,0,150,200,350,200,True
738769,0,350,150,450,350,100,False
747679,450,350,150,450,300,200,False
761701,900,350,150,300,250,200,False
701172,0,700,150,400,300,200,False
722705,400,700,150,400,300,200,False
765046,800,700,150,400,300,200,False
787729,0,0,350,400,300,100,False
787732,400,0,350,400,300,100,False
787738,800,0,350,400,300,100,False
767901,0,300,350,450,250,100,False
761256,450,300,350,350,250,100,False
722830,800,300,350,300,250,100,False
746241,0,550,350,350,300,100,False
766166,350,550,350,350,300,100,False
782723,700,550,350,350,300,100,False
729919,0,0,450,400,300,150,False
769600,400,0,450,400,300,150,False
791474,800,0,450,400,300,150,False
761751,0,300,450,450,250,200,False
794864,450,300,450,450,250,200,False
739214,900,300,450,300,250,150,False
700391,0,550,450,350,300,200,False
743808,0,850,450,450,150,200,False
755960,450,850,450,400,150,200,False
703673,850,850,450,350,150,200,False
765944,350,550,450,350,300,150,False
765944,700,550,450,350,300,150,False
748547,1050,550,450,150,300,150,True
704962,0,0,650,550,350,250,False
766485,550,0,650,550,350,250,False
790142,0,350,650,600,300,250,False
739090,600,350,650,450,300,250,False
758525,1050,350,650,150,300,150,True
764501,0,650,650,450,300,250,False
782551,450,650,650,450,250,250,False
740721,900,650,650,300,250,150,False
770210,0,0,900,350,300,150,False
747391,350,0,900,400,250,150,False
785915,750,0,900,400,250,150,False
700752,0,300,900,350,250,150,False
705165,350,300,900,350,250,150,False
723554,700,300,900,350,250,150,False
724280,0,550,900,350,250,150,False
726985,350,550,900,350,250,150,False
733302,700,550,900,350,250,150,False
746112,0,800,900,400,200,150,False
746155,400,800,900,400,200,150,False
746523,800,800,900,400,200,150,False
763540,0,0,1050,400,250,200,False
708212,400,0,1050,350,250,200,False
712226,750,0,1050,350,250,200,False
733729,0,250,1050,350,250,200,False
740753,350,250,1050,350,250,200,False
747437,700,250,1050,350,250,200,False
724016,1050,250,1050,150,250,200,True
758123,0,500,1050,350,250,200,False
759782,350,500,1050,350,250,200,False
768175,700,500,1050,350,250,200,False
775678,0,750,1050,350,250,200,False
780866,350,750,1050,350,250,200,False
735116,700,750,1050,350,250,150,False
708124,0,0,1250,400,350,300,False
704760,400,0,1250,350,300,300,False
769792,750,0,1250,350,300,250,False
777763,0,350,1250,350,300,250,False
787754,350,350,1250,350,300,250,False
794798,700,350,1250,350,300,250,False
747075,0,650,1250,500,200,250,False
736751,500,650,1250,450,200,250,False
708995,950,650,1250,250,200,200,False
737147,0,0,1550,350,250,150,False
737147,350,0,1550,350,250,150,False
740713,700,0,1550,350,250,150,False
749047,0,250,1550,350,250,150,False
752325,350,250,1550,350,250,150,False
760390,700,250,1550,350,250,150,False
761191,0,500,1550,350,250,150,False
765131,350,500,1550,350,250,150,False
767590,700,500,1550,350,250,150,False
767735,0,750,1550,350,250,150,False
767746,350,750,1550,350,250,150,False
778653,700,750,1550,350,250,150,False
704014,0,0,1700,350,250,250,False
769670,350,0,1700,350,250,250,False
799529,700,0,1700,350,250,250,False
783070,0,250,1700,350,250,150,False
795073,350,250,1700,350,250,150,False
704798,700,250,1700,400,200,250,False
739528,0,500,1700,400,200,250,False
753284,400,500,1700,400,200,250,False
700734,800,500,1700,350,200,250,False
740727,0,700,1700,250,300,150,True
748648,250,700,1700,250,300,150,True
756245,500,700,1700,250,300,150,True
762781,750,700,1700,250,300,150,True
702525,1000,700,1700,200,250,100,True
749089,0,0,1950,350,250,300,False
739720,350,0,1950,300,250,100,False
763305,650,0,1950,300,250,100,False
765743,0,250,1950,300,250,100,False
704049,300,250,1950,300,200,300,False
704883,600,250,1950,300,200,300,False

ExecutionTime,0.005 seconds
FillRate,74.53%
