SKU,X,Y,Z,Length,Width,Height,Rotated
725278,10,10,0,500,490,200,False
756584,510,10,0,510,300,310,False
704480,10,500,0,570,250,280,False
769955,580,500,0,520,310,210,False
760194,10,750,0,510,250,210,False
705900,510,310,0,300,180,290,False
759180,580,810,0,300,180,290,False
704044,1020,10,0,180,290,290,True
720140,810,310,0,210,150,150,False
747093,20,20,310,510,310,210,False
747093,530,20,310,510,310,210,False
747081,20,330,310,500,310,210,False
747083,520,330,310,510,310,200,False
747083,520,640,310,510,310,200,False
747090,20,640,310,500,310,200,False
704028,1030,330,310,170,300,290,True
704025,1030,630,310,170,290,290,True
755253,1040,20,310,160,280,200,True
782716,30,30,600,410,260,290,False
705082,30,290,600,450,330,200,False
716230,480,290,600,450,330,200,False
728367,30,620,600,450,330,200,False
752304,480,620,600,430,340,200,False
700381,440,30,600,310,250,340,False
704948,750,30,600,310,250,340,False
752324,930,290,600,270,410,230,True
741180,930,700,600,220,290,240,True
794621,1060,30,600,140,250,210,True
700648,40,40,940,450,280,230,False
752322,40,320,940,430,310,210,False
795469,470,320,940,480,340,170,False
739002,490,40,940,420,280,210,False
705889,950,320,940,240,510,200,True
753579,40,630,940,350,310,210,False
764136,470,660,940,480,250,180,False
704027,910,40,940,290,180,290,False
713677,50,50,1230,490,330,170,False
705889,540,50,1230,510,240,200,False
701728,50,380,1230,510,210,200,False
708128,560,380,1230,400,240,220,False
707290,50,590,1230,440,330,140,False
789285,560,620,1230,370,260,210,False
740923,960,380,1230,240,460,160,True
708198,1050,50,1230,140,310,180,True
760561,560,880,1230,250,120,90,False
707290,60,60,1450,440,330,140,False
761119,500,60,1450,440,330,140,False
733658,60,390,1450,370,290,180,False
762747,430,390,1450,420,280,160,False
762669,430,670,1450,420,280,160,False
736672,850,390,1450,310,470,120,True
740752,60,680,1450,350,260,190,False
710638,940,60,1450,230,310,240,True
708263,850,860,1450,310,140,180,False
716229,70,70,1690,420,320,130,False
774750,490,70,1690,450,240,160,False
764806,70,390,1690,460,310,120,False
712817,530,390,1690,310,230,240,False
739512,840,390,1690,310,460,120,True
707565,70,700,1690,370,230,200,False
791553,530,620,1690,310,260,210,False
730889,940,70,1690,260,310,210,True
703675,840,850,1690,310,140,180,False
762157,80,80,1930,420,310,130,False
701146,500,80,1930,420,310,130,False
701146,80,390,1930,420,310,130,False
701146,500,390,1930,420,310,130,False
736961,80,700,1930,400,200,210,False
736957,500,700,1930,400,200,210,False
733842,920,390,1930,230,380,190,True
761671,920,80,1930,230,310,230,True
701146,90,90,2160,420,310,130,False
701146,510,90,2160,420,310,130,False
701146,90,400,2160,420,310,130,False
701146,510,400,2160,420,310,130,False
748688,90,710,2160,360,240,190,False
765043,510,710,2160,360,240,190,False
761024,930,90,2160,230,310,230,True
795273,930,400,2160,230,310,230,True
