SKU,X,Y,Z,Length,Width,Height,Rotated
768211,10,10,0,500,310,200,False
747084,510,10,0,500,310,200,False
752304,10,320,0,430,340,200,False
795469,440,320,0,480,340,170,False
739507,440,660,0,440,330,190,False
767136,920,320,0,270,450,220,True
739002,10,660,0,420,280,210,False
747690,1010,10,0,190,300,290,True
741175,920,770,0,250,190,220,False
704759,20,20,290,450,270,220,False
785841,470,20,290,500,250,210,False
722021,20,290,290,450,260,220,False
745004,470,290,290,390,210,290,False
782268,860,290,290,250,480,180,True
761301,20,550,290,390,290,160,False
736672,470,500,290,310,470,120,True
708183,20,840,290,310,140,180,False
739294,970,20,290,210,260,140,True
790769,860,770,290,250,150,200,False
739510,30,30,580,470,310,120,False
704078,500,30,580,460,310,120,False
739511,30,340,580,460,310,120,False
765031,490,340,580,380,280,160,False
753689,870,340,580,190,470,190,True
718744,30,650,580,420,310,130,False
733842,490,620,580,380,230,190,False
789452,960,30,580,210,280,280,True
749616,490,850,580,250,130,200,False
758869,1060,340,580,130,250,160,True
706636,40,40,860,420,310,120,False
704027,460,40,860,290,180,290,False
737721,40,350,860,360,260,150,False
707785,750,40,860,350,200,200,False
699704,400,350,860,300,220,210,False
759845,40,610,860,320,240,180,False
747087,700,350,860,440,200,150,False
748207,700,550,860,310,210,200,False
762769,400,570,860,280,420,110,True
717636,700,760,860,310,210,190,False
774714,50,50,1150,420,280,110,False
757265,470,50,1150,420,280,110,False
765930,50,330,1150,390,210,150,False
754242,440,330,1150,390,210,150,False
735873,50,540,1150,350,270,120,False
705451,830,330,1150,350,260,120,False
738995,440,540,1150,350,260,120,False
716265,830,590,1150,350,260,120,False
733722,890,50,1150,300,230,140,False
707904,50,810,1150,310,170,150,False
767725,440,800,1150,260,180,120,False
761453,60,60,1300,350,270,110,False
749064,410,60,1300,330,240,130,False
769412,60,330,1300,420,280,80,False
798189,740,60,1300,280,210,160,False
700859,480,330,1300,340,250,110,False
724280,60,610,1300,320,240,120,False
724282,820,330,1300,320,240,120,False
773925,480,580,1300,270,370,90,True
740713,820,570,1300,310,240,120,False
774635,70,70,1460,310,240,120,False
735863,380,70,1460,310,230,120,False
720600,70,310,1460,310,230,120,False
767746,690,70,1460,310,230,120,False
767742,380,310,1460,310,230,120,False
770675,70,540,1460,310,230,120,False
732527,690,310,1460,310,230,120,False
713749,380,540,1460,310,230,120,False
795073,70,770,1460,310,230,120,False
712748,690,540,1460,230,340,90,True
767738,380,770,1460,290,210,90,False
720489,80,80,1580,290,210,90,False
731999,370,80,1580,280,210,90,False
716169,80,290,1580,280,210,90,False
787240,650,80,1580,290,210,80,False

ExecutionTime,0.001 seconds
FillRate,50.24%
