SKU,X,Y,Z,Length,Width,Height,Rotated
725278,10,10,0,500,490,200,False
702392,510,10,0,550,400,220,False
780141,10,500,0,600,350,220,False
750108,610,500,0,510,310,260,False
753689,610,810,0,470,190,190,False
708198,10,850,0,310,140,180,False
708263,1060,10,0,140,310,180,True
764075,320,850,0,240,140,220,False
704510,20,20,260,490,300,270,False
704763,510,20,260,430,270,330,False
704859,20,320,260,460,280,290,False
723015,480,320,260,500,390,190,False
754230,480,710,260,500,240,270,False
782716,20,600,260,410,260,290,False
708118,980,320,260,210,490,250,True
704329,940,20,260,240,290,230,True
708194,20,860,260,310,140,180,False
720141,980,810,260,210,150,140,False
747093,30,30,590,510,310,210,False
747090,540,30,590,500,310,200,False
793270,30,340,590,410,260,290,False
715009,440,340,590,490,260,240,False
789737,30,600,590,410,250,290,False
752304,440,600,590,430,340,200,False
721998,930,340,590,270,450,230,True
723035,930,790,590,250,190,170,False
708183,30,850,590,310,140,180,False
703674,1040,30,590,140,310,180,True
713677,40,40,880,490,330,170,False
727790,530,40,880,480,250,200,False
769015,40,370,880,350,270,250,False
782268,390,370,880,480,250,180,False
765091,390,620,880,460,260,180,False
747085,870,370,880,210,510,200,True
756966,40,640,880,320,240,230,False
705911,1010,40,880,180,300,290,True
748873,390,880,880,260,120,150,False
747086,50,50,1170,510,210,200,False
747095,560,50,1170,510,210,200,False
708130,50,260,1170,400,240,220,False
769681,450,260,1170,400,240,220,False
727177,50,500,1170,380,260,210,False
726612,850,260,1170,250,460,180,True
763599,450,500,1170,270,500,150,True
790926,50,760,1170,310,240,230,False
708196,720,500,1170,130,310,180,True
766241,850,720,1170,210,280,110,True
761780,60,60,1400,430,320,140,False
777342,490,60,1400,450,250,170,False
762753,60,380,1400,470,310,130,False
762669,530,380,1400,420,280,160,False
601032,60,690,1400,470,310,120,False
783589,530,660,1400,420,320,130,False
712817,940,60,1400,230,310,240,True
733842,950,380,1400,230,380,190,True
601571,70,70,1640,470,310,120,False
737114,540,70,1640,460,310,120,False
600595,70,380,1640,460,310,120,False
740975,530,380,1640,420,310,130,False
762386,70,690,1640,310,260,210,False
733842,530,690,1640,380,230,190,False
712818,950,380,1640,230,310,230,True
759180,1000,70,1640,180,300,290,True
704027,950,690,1640,180,290,290,True
722549,80,80,1930,360,270,170,False
704602,440,80,1930,390,200,210,False
765369,80,350,1930,470,310,110,False
705148,830,80,1930,340,260,180,False
718975,550,350,1930,420,310,120,False
762651,80,660,1930,420,310,120,False
704027,550,660,1930,290,180,290,False
704028,970,350,1930,170,300,290,True
760191,970,650,1930,170,300,290,True
731308,550,840,1930,250,160,150,False
712226,90,90,2220,340,240,180,False
703896,90,330,2220,390,250,150,False
768132,480,330,2220,360,270,150,False
766131,430,90,2220,450,190,170,False
708188,90,580,2220,200,400,180,True
704025,840,330,2220,290,170,290,False
699704,480,600,2220,300,220,210,False
759845,880,90,2220,320,240,180,False
708186,290,580,2220,190,400,180,True
708186,840,500,2220,190,400,180,True
761787,480,820,2220,260,180,120,False
762730,100,100,2510,350,260,150,False
705218,450,100,2510,350,260,150,False
707564,100,360,2510,320,170,250,False
719620,800,100,2510,290,220,210,False
700202,420,360,2510,300,220,200,False
704589,100,530,2510,310,210,200,False
799564,720,360,2510,420,280,110,False
739124,720,640,2510,420,280,110,False
712600,420,580,2510,280,410,110,True
733187,100,740,2510,310,230,170,False
760457,110,110,2760,390,230,140,False
765934,500,110,2760,390,210,150,False
788619,110,340,2760,360,270,120,False
783372,470,340,2760,330,250,140,False
749044,110,610,2760,330,250,140,False
749022,800,340,2760,330,250,140,False
772281,470,590,2760,330,250,140,False
768175,890,110,2760,310,230,160,False
765932,800,590,2760,200,380,150,True
769982,470,840,2760,330,160,190,False
790275,120,120,2950,360,260,120,False
739044,480,120,2950,350,260,120,False
705451,120,380,2950,350,260,120,False
705450,830,120,2950,350,260,120,False
705459,470,380,2950,350,260,120,False
739008,120,640,2950,350,260,120,False
738995,820,380,2950,350,260,120,False
765852,470,640,2950,270,360,110,True
749064,820,640,2950,330,240,130,False
750419,130,130,3080,400,200,130,False
795060,530,130,3080,310,180,180,False
700986,130,330,3080,350,260,110,False
765943,480,330,3080,340,260,110,False
747554,840,130,3080,310,180,170,False
774621,820,330,3080,280,420,80,True
724280,130,590,3080,320,240,120,False
724284,480,590,3080,320,240,120,False
723266,130,830,3080,310,170,170,False
746239,820,750,3080,280,210,110,False
731432,140,140,3260,320,240,120,False
723041,460,140,3260,310,240,120,False
736854,140,380,3260,310,240,120,False
758553,450,380,3260,440,220,90,False
737112,770,140,3260,310,230,120,False
701081,140,620,3260,310,230,120,False
701080,890,380,3260,310,230,120,False
733149,450,600,3260,310,230,120,False
739364,890,610,3260,310,230,120,False
767737,150,150,3380,310,230,120,False
770673,460,150,3380,310,230,120,False
767670,150,380,3380,310,230,120,False
739367,770,150,3380,310,230,120,False
700352,460,380,3380,310,230,120,False
750676,150,610,3380,310,230,120,False
761788,770,380,3380,430,280,70,False
786442,770,660,3380,320,210,120,False
732604,460,610,3380,270,360,80,True
738855,160,160,3500,360,270,80,False
730745,520,160,3500,300,200,120,False
785593,160,430,3500,320,210,100,False
785593,820,160,3500,320,210,100,False
748648,480,430,3500,280,210,110,False
767988,160,640,3500,260,190,130,False
746241,760,430,3500,350,260,70,False
729523,480,640,3500,280,210,90,False
761664,760,690,3500,280,210,90,False
713413,170,170,3630,290,220,80,False
787240,460,170,3630,290,210,80,False

ExecutionTime,0.002 seconds
FillRate,52.44%
