SKU,X,Y,Z,Length,Width,Height,Rotated
725278,0,0,0,500,500,200,False
713677,500,0,0,500,350,200,False
705913,1000,0,0,200,350,200,True
708176,500,350,0,350,150,200,False
708263,850,350,0,350,150,200,False
788710,0,500,0,350,500,200,True
600595,350,500,0,350,500,150,True
601571,700,500,0,500,350,150,False
737449,700,850,0,350,150,200,False
704078,0,0,200,500,350,150,False
702918,500,0,200,450,350,150,False
700363,950,0,200,250,350,150,True
715845,0,350,200,450,350,150,False
731404,450,350,200,450,350,150,False
700986,900,350,200,300,350,150,True
762575,0,700,200,550,250,100,False
752576,550,700,200,500,250,100,False
740973,0,0,350,450,350,150,False
712897,450,0,350,450,300,150,False
705982,900,0,350,300,250,150,False
740711,0,350,350,450,300,150,False
772044,450,350,350,450,300,150,False
709520,900,350,350,300,250,150,False
702589,0,650,350,400,300,150,False
737721,400,650,350,400,300,150,False
747686,800,650,350,400,300,150,False
740702,0,0,500,400,350,200,False
744565,400,0,500,400,350,200,False
708567,800,0,500,400,300,200,False
701728,0,350,500,550,250,200,False
784015,550,350,500,550,250,200,False
764136,0,600,500,500,250,200,False
794864,500,600,500,450,250,200,False
700267,0,850,500,300,150,200,False
732091,300,850,500,300,150,100,False
747093,0,0,700,550,350,250,False
704759,550,0,700,450,300,250,False
763559,1000,0,700,200,300,150,True
739022,0,350,700,450,300,250,False
785841,450,350,700,500,250,250,False
741175,950,350,700,250,200,250,False
722549,0,650,700,400,300,200,False
722703,400,650,700,400,300,200,False
722705,800,650,700,400,300,200,False
703269,0,0,950,400,300,100,False
704256,400,0,950,400,300,100,False
717852,800,0,950,400,300,100,False
756481,0,300,950,400,300,100,False
788720,400,300,950,400,300,100,False
770200,800,300,950,350,300,100,False
734980,0,600,950,450,250,100,False
761650,450,600,950,350,250,100,False
716078,800,600,950,300,250,100,False
764630,0,0,1050,400,300,150,False
766262,400,0,1050,400,300,150,False
779171,800,0,1050,400,300,150,False
705423,0,300,1050,350,300,150,False
705451,350,300,1050,350,300,150,False
716445,700,300,1050,350,300,150,False
738991,0,600,1050,350,300,150,False
765943,350,600,1050,350,300,150,False
765943,700,600,1050,350,300,150,False
765943,0,0,1200,350,300,150,False
766449,350,0,1200,350,300,150,False
774189,700,0,1200,350,300,150,False
797507,0,300,1200,350,300,150,False
702245,350,300,1200,350,250,150,False
703334,700,300,1200,350,250,150,False
703336,0,600,1200,350,250,150,False
703338,350,600,1200,350,250,150,False
710303,700,600,1200,350,250,150,False
733660,0,0,1350,400,300,200,False
744914,400,0,1350,400,300,200,False
752326,800,0,1350,400,300,200,False
704958,0,300,1350,400,250,200,False
712063,400,300,1350,400,250,200,False
718199,800,300,1350,350,250,200,False
704890,0,550,1350,200,450,200,True
718245,200,550,1350,300,300,200,False
740751,500,550,1350,350,250,200,False
740753,850,550,1350,350,250,200,False
720063,0,0,1550,350,250,150,False
722878,350,0,1550,350,250,150,False
724280,700,0,1550,350,250,150,False
739366,0,250,1550,350,250,150,False
740714,350,250,1550,350,250,150,False
749064,700,250,1550,350,250,150,False
760390,0,500,1550,350,250,150,False
762127,350,500,1550,350,250,150,False
770374,700,500,1550,350,250,150,False
774645,0,750,1550,350,250,150,False
716817,350,750,1550,400,200,150,False
774324,750,750,1550,400,200,150,False
769016,0,0,1700,350,300,250,False
787754,350,0,1700,350,300,250,False
756966,700,0,1700,350,250,250,False
761705,0,300,1700,350,250,250,False
739528,350,300,1700,400,200,250,False
739991,750,300,1700,400,200,200,False
761071,0,550,1700,300,250,200,False
740727,300,550,1700,300,250,150,False
746239,600,550,1700,300,250,150,False
792068,900,550,1700,300,250,150,False
795060,0,800,1700,350,200,200,False
763560,350,800,1700,350,200,150,False
766640,700,800,1700,300,200,150,False
793270,0,0,1950,450,300,300,False
744924,450,0,1950,350,250,300,False
722830,800,0,1950,300,250,100,False
733340,0,300,1950,300,250,100,False
765667,300,300,1950,300,250,100,False
704044,600,300,1950,300,200,300,False
704740,900,300,1950,300,200,300,False
708680,0,550,1950,300,200,300,False
795858,300,550,1950,300,200,100,False

ExecutionTime,0.005 seconds
FillRate,76.38%
