SKU,X,Y,Z,Length,Width,Height,Rotated
704757,10,10,0,510,270,200,False
704757,520,10,0,510,270,200,False
704757,10,280,0,510,270,200,False
704757,520,280,0,510,270,200,False
704757,10,550,0,510,270,200,False
764501,520,550,0,450,270,220,False
708198,10,820,0,310,140,180,False
708263,520,820,0,310,140,180,False
764501,20,20,220,450,270,220,False
764501,470,20,220,450,270,220,False
764501,20,290,220,450,270,220,False
764501,470,290,220,450,270,220,False
764501,20,560,220,450,270,220,False
764501,470,560,220,450,270,220,False
764501,920,290,220,270,450,220,True
764501,30,30,440,450,270,220,False
704768,480,30,440,450,270,220,False
704768,30,300,440,450,270,220,False
704768,480,300,440,450,270,220,False
704768,30,570,440,450,270,220,False
704768,480,570,440,450,270,220,False
704768,930,300,440,270,450,220,True
704768,40,40,660,450,270,220,False
704768,490,40,660,450,270,220,False
704768,40,310,660,450,270,220,False
704768,490,310,660,450,270,220,False
761269,40,580,660,320,240,230,False
761269,490,580,660,320,240,230,False
761269,940,310,660,240,320,230,True
728771,940,630,660,200,300,290,True
704739,50,50,950,290,200,300,False
761661,50,250,950,310,240,230,False
761661,360,250,950,310,240,230,False
761661,50,490,950,310,240,230,False
761271,670,250,950,310,240,230,False
761271,360,490,950,310,240,230,False
761271,50,730,950,310,240,230,False
701146,670,490,950,310,420,130,True
795273,360,730,950,310,230,230,False
704801,340,50,950,390,200,210,False
704740,730,50,950,290,190,290,False
708186,980,250,950,190,400,180,True
701146,60,60,1250,420,310,130,False
701146,480,60,1250,420,310,130,False
701146,60,370,1250,420,310,130,False
761067,480,370,1250,420,310,130,False
761067,60,680,1250,420,310,130,False
761067,480,680,1250,420,310,130,False
795273,900,60,1250,230,310,230,True
795273,900,370,1250,230,310,230,True
761067,70,70,1480,420,310,130,False
704945,490,70,1480,370,230,190,False
704945,70,380,1480,370,230,190,False
761057,440,380,1480,420,310,120,False
761057,440,690,1480,420,310,120,False
761057,860,380,1480,310,420,120,True
765943,860,70,1480,340,260,110,False
765943,70,610,1480,340,260,110,False
761057,80,80,1670,420,310,120,False
722009,500,80,1670,440,190,160,False
722009,80,390,1670,440,190,160,False
722009,520,390,1670,440,190,160,False
722009,80,580,1670,440,190,160,False
722009,520,580,1670,440,190,160,False
722049,80,770,1670,440,190,160,False
722049,520,770,1670,440,190,160,False
722049,960,390,1670,190,440,160,True
722049,90,90,1830,440,190,160,False
722049,530,90,1830,440,190,160,False
753691,90,280,1830,540,230,80,False
765943,630,280,1830,340,260,110,False
765943,90,510,1830,340,260,110,False
765943,630,540,1830,340,260,110,False
765943,100,100,1990,340,260,110,False
737519,440,100,1990,330,260,110,False
737519,100,360,1990,330,260,110,False
737519,770,100,1990,330,260,110,False
737519,430,360,1990,330,260,110,False
737519,100,620,1990,330,260,110,False
737519,760,360,1990,330,260,110,False
700859,430,620,1990,250,340,110,True
700859,760,620,1990,250,340,110,True
700859,110,110,2100,340,250,110,False
700859,450,110,2100,340,250,110,False
700859,110,360,2100,340,250,110,False
700859,790,110,2100,340,250,110,False
765941,450,360,2100,330,250,110,False
765941,110,610,2100,330,250,110,False
765941,780,360,2100,330,250,110,False
765941,450,610,2100,330,250,110,False
765941,780,610,2100,330,250,110,False
765941,120,120,2210,330,250,110,False

ExecutionTime,0.001 seconds
FillRate,55.54%
