SKU,X,Y,Z,Length,Width,Height,Rotated
750108,10,10,0,510,310,260,False
747092,520,10,0,510,310,200,False
767885,10,320,0,510,310,200,False
793592,520,320,0,460,400,170,False
713677,10,630,0,490,330,170,False
704759,520,720,0,450,270,220,False
701728,980,320,0,210,510,200,True
760192,1030,10,0,170,300,290,True
723017,20,20,290,580,260,190,False
704948,600,20,290,310,250,340,False
739090,20,280,290,420,280,220,False
731574,440,280,290,500,250,200,False
757670,440,530,290,460,270,200,False
739002,20,560,290,420,280,210,False
784015,940,280,290,240,510,200,True
789452,910,20,290,280,210,280,False
765790,440,800,290,300,180,290,False
708198,20,840,290,310,140,180,False
761780,30,30,630,430,320,140,False
766377,460,30,630,460,310,130,False
751518,30,350,630,470,310,120,False
600591,500,350,630,470,310,120,False
736672,30,660,630,470,310,120,False
601571,500,660,630,470,310,120,False
700404,920,30,630,230,320,230,True
733842,970,350,630,230,380,190,True
741173,970,730,630,180,250,220,True
746037,40,40,860,460,310,120,False
764492,500,40,860,310,260,210,False
765044,40,350,860,360,240,190,False
704945,810,40,860,370,230,190,False
765369,400,350,860,470,310,110,False
759782,40,590,860,320,250,200,False
716924,400,660,860,380,280,150,False
769600,870,350,860,280,380,150,True
731408,870,730,860,280,210,150,False
720050,50,50,1070,330,250,190,False
608864,50,300,1070,420,310,120,False
702918,470,300,1070,410,310,120,False
704044,380,50,1070,290,180,290,False
704027,50,610,1070,290,180,290,False
704049,880,300,1070,290,180,290,False
741170,470,610,1070,290,220,230,False
737103,880,480,1070,270,360,150,True
766131,670,50,1070,450,190,170,False
704025,50,790,1070,290,170,290,False
737119,60,60,1360,360,270,150,False
768132,420,60,1360,360,270,150,False
783128,60,330,1360,450,190,170,False
771039,780,60,1360,320,250,180,False
756546,510,330,1360,440,190,170,False
737729,60,520,1360,360,260,150,False
707785,510,520,1360,350,200,200,False
699704,60,780,1360,300,220,210,False
708186,950,330,1360,190,400,180,True
707902,510,720,1360,340,200,200,False
767725,950,730,1360,180,260,120,True
779171,70,70,1570,380,300,120,False
756477,450,70,1570,350,270,140,False
746430,70,370,1570,350,270,140,False
799564,420,370,1570,420,280,110,False
721356,420,650,1570,420,280,110,False
739139,840,370,1570,280,420,110,True
765934,800,70,1570,390,210,150,False
739000,70,640,1570,270,360,120,True
739294,840,790,1570,260,210,140,False
739135,80,80,1720,420,280,110,False
796010,500,80,1720,380,210,150,False
766036,80,360,1720,380,210,150,False
785915,460,360,1720,380,210,150,False
737218,80,570,1720,330,250,140,False
757908,840,360,1720,330,250,140,False
761202,880,80,1720,310,230,160,False
781909,460,570,1720,360,260,120,False
790275,840,610,1720,260,360,120,True
794918,90,90,1880,350,260,120,False
738987,440,90,1880,350,260,120,False
705459,90,350,1880,350,260,120,False
705448,790,90,1880,350,260,120,False
738995,440,350,1880,350,260,120,False
749046,90,610,1880,330,250,130,False
723620,790,350,1880,360,270,110,False
702589,790,620,1880,360,270,110,False
728923,440,610,1880,340,270,110,False
774093,100,100,2010,410,210,120,False
700986,100,310,2010,350,260,110,False
737101,450,310,2010,460,310,70,False
724354,100,570,2010,340,260,110,False
772900,450,620,2010,340,260,110,False
765943,910,310,2010,260,340,110,True
714146,910,650,2010,230,300,140,True
739214,510,100,2010,260,210,140,False
767738,770,100,2010,290,210,90,False
733715,110,110,2150,300,230,140,False
728849,110,340,2150,330,260,110,False
765974,440,340,2150,330,260,110,False
770952,110,600,2150,330,260,110,False
737519,770,340,2150,330,260,110,False
717852,440,600,2150,260,360,100,True
700859,770,600,2150,250,340,110,True
728889,410,110,2150,320,230,120,False
700976,730,110,2150,310,230,120,False
774621,120,120,2290,420,280,80,False
737013,540,120,2290,320,240,120,False
765941,120,400,2290,330,250,110,False
765942,860,120,2290,330,250,110,False
736854,450,400,2290,310,240,120,False
767590,120,650,2290,310,240,120,False
700363,760,400,2290,310,240,120,False
740714,450,640,2290,310,230,120,False
767732,760,640,2290,310,230,120,False
720600,130,130,2410,310,230,120,False
767735,440,130,2410,310,230,120,False
731325,130,360,2410,310,230,120,False
701080,750,130,2410,310,230,120,False
767727,440,360,2410,310,230,120,False
718855,130,590,2410,310,230,120,False
767734,750,360,2410,310,230,120,False
767741,440,590,2410,310,230,120,False
733153,750,590,2410,310,230,120,False
767728,140,140,2530,310,230,120,False
767737,450,140,2530,310,230,120,False
770675,140,370,2530,310,230,120,False
710303,760,140,2530,310,230,120,False
700352,450,370,2530,310,230,120,False
710301,140,600,2530,310,230,120,False
774645,760,370,2530,310,230,120,False
729650,450,600,2530,310,230,120,False
787732,760,600,2530,260,360,90,True
712748,150,150,2650,340,230,90,False
766166,150,380,2650,350,280,70,False
761682,490,150,2650,280,210,90,False
731999,500,380,2650,280,210,90,False
717911,150,660,2650,280,210,90,False
711646,770,150,2650,280,210,90,False
787240,780,380,2650,290,210,80,False

ExecutionTime,0.001 seconds
FillRate,54.35%
