SKU,X,Y,Z,Length,Width,Height,Rotated
705471,0,0,0,450,300,100,False
703269,450,0,0,400,300,100,False
733309,850,0,0,350,250,100,False
715687,0,300,0,400,300,100,False
766161,400,300,0,400,300,100,False
788720,800,300,0,400,300,100,False
713413,0,600,0,300,250,100,False
732091,0,850,0,300,150,100,False
729523,300,600,0,300,250,100,False
731999,600,600,0,300,250,100,False
739743,900,600,0,300,250,100,False
747083,0,0,100,550,350,200,False
747092,550,0,100,550,350,200,False
708107,0,350,100,550,350,150,False
600591,550,350,100,500,350,150,False
703674,1050,350,100,150,350,200,True
704757,0,700,100,550,300,200,False
772044,550,700,100,450,300,150,False
761787,1000,700,100,200,300,150,True
600598,0,0,300,500,350,150,False
601571,500,0,300,500,350,150,False
777891,1000,0,300,200,350,200,True
704076,0,350,300,500,350,150,False
705699,500,350,300,500,350,150,False
777882,1000,350,300,200,350,150,True
799564,0,700,300,450,300,150,False
726612,450,700,300,500,250,200,False
746873,950,700,300,250,200,200,False
780136,0,0,500,600,300,250,False
700599,600,0,500,450,300,250,False
700267,1050,0,500,150,300,200,True
737309,0,300,500,500,350,150,False
739511,500,300,500,500,350,150,False
708175,1000,300,500,150,350,200,True
739512,0,650,500,500,350,150,False
702918,500,650,500,450,350,150,False
704002,950,650,500,250,350,250,True
710021,0,0,750,450,350,150,False
732529,450,0,750,450,350,150,False
700986,900,0,750,300,350,150,True
737998,0,350,750,450,350,150,False
762664,450,350,750,450,350,150,False
705450,900,350,750,300,350,150,True
723622,0,700,750,400,300,150,False
769678,400,700,750,400,300,150,False
790275,800,700,750,400,300,150,False
770564,0,0,900,450,350,150,False
708116,450,0,900,450,300,250,False
799963,900,0,900,300,250,250,False
722021,0,350,900,450,300,250,False
722105,450,350,900,450,300,250,False
705217,900,350,900,300,250,200,False
722822,0,650,900,450,300,250,False
731574,450,650,900,500,250,200,False
761884,950,650,900,250,200,200,False
764136,0,0,1150,500,250,200,False
715092,500,0,1150,450,250,200,False
746786,950,0,1150,200,150,200,False
744914,0,250,1150,400,300,200,False
739396,400,250,1150,450,250,200,False
703438,850,250,1150,350,250,200,False
700391,0,550,1150,350,300,200,False
746972,0,850,1150,450,150,200,False
787172,450,850,1150,450,150,200,False
754462,900,850,1150,300,150,200,False
737990,350,550,1150,350,300,150,False
738996,700,550,1150,350,300,150,False
746430,0,0,1350,350,300,150,False
762731,350,0,1350,350,300,150,False
765944,700,0,1350,350,300,150,False
766174,0,300,1350,350,300,150,False
766175,350,300,1350,350,300,150,False
770952,700,300,1350,350,300,150,False
783157,0,600,1350,350,300,150,False
791935,350,600,1350,350,300,150,False
704128,700,600,1350,400,250,150,False
765930,0,0,1500,400,250,150,False
796010,400,0,1500,400,250,150,False
701081,800,0,1500,350,250,150,False
747087,0,250,1500,450,200,150,False
746243,450,250,1500,400,200,150,False
718855,0,450,1500,350,250,150,False
722878,350,450,1500,350,250,150,False
724174,700,450,1500,350,250,150,False
728889,0,700,1500,350,250,150,False
729665,350,700,1500,350,250,150,False
733147,700,700,1500,350,250,150,False
704945,0,0,1650,400,250,200,False
707565,400,0,1650,400,250,200,False
765043,800,0,1650,400,250,200,False
765044,0,250,1650,400,250,200,False
722049,400,250,1650,450,200,200,False
708183,850,250,1650,350,150,200,False
752230,0,500,1650,200,450,200,True
704796,200,500,1650,250,350,200,True
728370,450,500,1650,250,350,200,True
740617,700,500,1650,250,350,200,True
736854,950,500,1650,250,350,150,True
705482,0,0,1850,350,300,250,False
744076,350,0,1850,400,250,250,False
708255,750,0,1850,450,200,250,False
736751,0,300,1850,200,450,250,True
748979,0,750,1850,350,250,250,False
756966,350,750,1850,350,250,250,False
760995,700,750,1850,350,250,250,False
761673,200,300,1850,250,350,250,True
739367,450,300,1850,250,350,150,True
749052,700,300,1850,250,350,150,True
758634,950,300,1850,250,350,150,True
704859,0,0,2100,500,300,300,False
704415,500,0,2100,450,300,350,False
712150,950,0,2100,250,300,150,True
723588,0,300,2100,400,350,300,False
795190,400,300,2100,450,300,350,False
700381,850,300,2100,350,250,350,False
789812,0,650,2100,450,300,300,False
704948,450,650,2100,350,250,350,False
744924,800,650,2100,350,250,300,False
761275,0,0,2450,350,250,150,False
774635,350,0,2450,350,250,150,False
795073,700,0,2450,350,250,150,False
703307,0,250,2450,400,200,200,False
765932,400,250,2450,400,200,150,False
708184,800,250,2450,350,150,200,False
798039,0,450,2450,300,250,150,False
761240,300,450,2450,300,250,100,False
761664,600,450,2450,300,250,100,False
787240,900,450,2450,300,250,100,False
708198,0,700,2450,350,150,200,False
737449,350,700,2450,350,150,200,False
765790,0,0,2650,300,200,300,False

ExecutionTime,0.008 seconds
FillRate,70.77%
