SKU,X,Y,Z,Len,Wid,Hgt,Rot
795469,0,0,0,340,480,170,True
738985,340,0,0,270,350,120,True
738985,610,0,0,270,350,120,True
738985,880,0,0,270,350,120,True
738985,0,480,0,270,350,120,True
739044,340,480,0,260,350,120,True
739044,600,480,0,260,350,120,True
739044,860,480,0,260,350,120,True
704014,0,0,170,310,230,240,False
739044,340,0,170,260,350,120,True
704014,0,230,170,310,230,240,False
704014,0,480,170,310,230,240,False
704014,340,480,170,230,310,240,True
704014,570,480,170,230,310,240,True
704014,800,480,170,230,310,240,True
704016,0,710,170,310,230,240,False
704016,340,0,290,230,310,240,True
704016,600,0,290,230,310,240,True
704016,830,0,290,230,310,240,True
704016,0,0,410,310,230,240,False
704016,0,230,410,310,230,240,False
704024,0,480,410,310,230,230,False
704024,340,480,410,230,310,230,True
704024,570,480,410,230,310,230,True
704024,800,480,410,230,310,230,True
704024,0,710,410,310,230,230,False
704024,340,0,530,230,310,230,True

Execution,0.001s
Fill,46.11%
