SKU,X,Y,Z,Len,Wid,Hgt,Rot
780141,0,0,0,350,600,220,True
770406,350,0,0,490,490,190,False
708567,840,0,0,360,260,170,False
762924,840,260,0,310,230,130,False
753579,0,600,0,350,310,210,False
793592,350,600,0,460,400,170,False
740702,810,600,0,390,310,160,False
786238,0,0,220,350,400,300,True
704480,350,0,220,250,570,280,True
769429,600,0,220,260,550,280,True
752304,860,0,220,340,430,200,True
775554,0,400,220,270,200,170,False
708130,0,600,220,240,400,220,True
736957,350,600,220,200,400,210,True
708186,550,600,220,190,400,180,True
740923,740,600,220,460,240,160,False
766548,740,840,220,250,160,150,False
742060,0,400,390,260,180,120,False
774621,860,0,420,280,420,80,True
710333,350,600,430,200,390,210,True
755960,550,600,430,140,400,190,True
727804,690,600,430,480,250,190,False
708183,690,850,430,310,140,180,False
756966,0,600,440,240,320,230,True
760194,350,0,500,250,510,210,True
710713,600,0,500,390,510,200,True
701728,990,0,500,210,510,200,True
735865,0,0,520,350,270,120,False
704885,0,400,520,290,190,290,False
708263,550,600,620,140,310,180,True
747080,690,600,620,510,310,200,False
704963,0,0,640,290,270,210,False
792284,0,270,640,250,130,160,False
746112,350,600,640,200,370,140,True
763098,0,600,670,230,320,230,True
747951,600,0,700,310,510,200,True
738197,990,0,700,210,310,200,True
707700,990,310,700,210,190,120,False
704948,350,0,710,250,310,340,True
741175,350,310,710,250,190,220,False
743369,350,600,780,180,310,380,True
748547,550,600,800,140,290,120,True
704044,0,400,810,290,180,290,False
747081,690,600,820,500,310,210,False
700885,0,0,850,290,220,230,False
747090,600,0,900,310,500,200,True
780089,990,0,900,180,310,170,True
704014,0,600,900,230,310,240,True
704040,690,600,1030,500,300,320,False
712817,350,0,1050,230,310,240,True
763553,990,0,1070,180,300,150,True
741170,0,0,1080,290,220,230,False
785841,600,0,1100,250,500,210,True
761787,0,400,1100,260,180,120,False
704010,0,600,1140,230,310,230,True
767725,350,600,1160,180,260,120,True
760192,990,0,1220,170,300,290,True
737714,350,0,1290,230,310,230,True
740721,0,0,1310,290,210,110,False
715092,600,0,1310,250,450,180,True
704880,690,600,1350,460,280,290,False
720600,0,600,1370,230,310,120,True
731408,0,0,1420,280,210,150,False
703718,600,0,1490,250,380,150,True
733147,0,600,1490,230,310,120,True
754462,990,0,1510,150,280,200,True
733149,350,0,1520,230,310,120,True
792068,0,0,1570,280,210,110,False
755724,0,600,1610,230,310,120,True
760674,350,0,1640,230,310,120,True
752579,600,0,1640,250,310,180,True
704861,690,600,1640,460,280,280,False
765563,0,0,1680,280,210,100,False
761191,0,600,1730,230,310,120,True
774963,350,0,1760,230,310,120,True
711646,0,0,1780,280,210,90,False
799830,600,0,1820,250,260,210,True
774964,0,600,1850,230,310,120,True
717883,0,0,1870,280,210,90,False
727935,350,0,1880,210,280,90,True
776661,690,600,1920,460,270,220,False
762125,0,0,1960,280,210,90,False
767136,690,600,2140,450,270,220,False
739000,690,600,2360,360,270,120,False
737987,690,600,2480,350,270,120,False
705451,690,600,2600,350,260,120,False
705148,690,600,2720,340,260,180,False
765943,690,600,2900,340,260,110,False
772900,690,600,3010,340,260,110,False
740617,690,600,3120,330,250,160,False
704796,690,600,3280,330,240,170,False

Execution,0.003s
Fill,37.12%
