SKU,X,Y,Z,Len,Wid,Hgt,Rot
747093,0,0,0,310,510,210,True
769851,310,0,0,300,510,210,True
704757,610,0,0,270,510,200,True
704757,880,0,0,270,510,200,True
704078,0,510,0,310,460,120,True
752576,310,510,0,240,490,90,True
778725,550,510,0,330,440,90,True
774621,880,510,0,280,420,80,True
760390,310,510,90,240,310,120,True
739509,550,510,90,310,460,120,True
739512,860,510,90,310,460,120,True
788720,0,510,120,260,360,90,True
747084,0,0,210,310,500,200,True
704757,310,0,210,270,510,200,True
704757,580,0,210,270,510,200,True
747085,850,0,210,210,510,200,True
708175,1060,0,210,140,310,180,True
761271,0,510,210,310,240,230,False
704759,310,510,210,270,450,220,True
704759,580,510,210,270,450,220,True
704759,850,510,210,270,450,220,True
761271,0,750,210,310,240,230,False
747090,0,0,410,310,500,200,True
704759,310,0,410,270,450,220,True
704768,580,0,410,270,450,220,True
704768,850,0,410,270,450,220,True
704768,310,510,430,270,450,220,True
704768,580,510,430,270,450,220,True
722105,850,510,430,270,450,220,True
761271,0,510,440,310,240,230,False
761661,0,750,440,310,240,230,False
761661,0,0,610,310,240,230,False
761661,0,240,610,310,240,230,False
722105,310,0,630,270,450,220,True
722105,580,0,630,270,450,220,True
722105,850,0,630,270,450,220,True
764501,310,510,650,270,450,220,True
764501,580,510,650,270,450,220,True
764501,850,510,650,270,450,220,True
762108,0,510,670,310,240,230,False
723266,0,750,670,310,170,170,False
710301,0,0,840,310,230,120,False
722224,0,240,840,300,260,210,False
708183,0,750,840,310,140,180,False
764501,310,0,850,270,450,220,True
764501,580,0,850,270,450,220,True
705470,850,0,850,270,350,230,True
710584,310,510,870,270,350,160,True
739101,580,510,870,270,360,150,True
768132,850,510,870,270,360,150,True
710301,0,510,900,310,230,120,False
733715,0,0,960,300,230,140,False
711079,0,510,1020,310,230,120,False
735865,580,510,1020,270,350,120,True
791944,850,510,1020,260,360,120,True
748549,0,750,1020,290,140,120,False
705451,310,510,1030,260,350,120,True
704754,0,240,1050,300,190,290,False
702589,310,0,1070,270,360,110,True
702589,580,0,1070,270,360,110,True
746241,850,0,1080,260,350,70,True
759180,0,0,1100,300,180,290,False
723028,0,510,1140,310,230,120,False
757908,580,510,1140,250,330,140,True
799830,850,510,1140,260,250,210,False
739294,850,0,1150,260,210,140,False
767725,310,510,1150,260,180,120,False
764630,310,0,1180,260,360,110,True
715687,580,0,1180,270,360,100,True
734957,0,510,1260,310,230,120,False
750776,580,0,1280,270,360,100,True
789922,580,510,1280,250,300,200,True
717852,310,0,1290,260,360,100,True
707700,850,0,1290,190,210,120,True
765802,0,240,1340,300,180,290,False
717582,850,510,1350,200,250,150,True
761650,580,0,1380,250,330,100,True
719522,0,510,1380,290,220,210,False
704027,0,0,1390,290,180,290,False
778653,310,0,1390,240,330,130,True
761269,580,0,1480,240,320,230,True
700936,580,510,1480,220,290,170,True
761269,310,0,1520,240,320,230,True
787240,0,510,1590,290,210,80,False
700267,0,240,1630,280,150,190,False
756245,580,510,1650,210,280,110,True
783772,0,510,1670,280,210,110,False
761269,580,0,1710,240,320,230,True
775255,310,0,1750,230,320,230,True
770416,580,0,1940,190,320,210,True
785593,310,0,1980,210,320,100,True

Execution,0.002s
Fill,57.60%
