SKU,X,Y,Z,Length,Width,Height,Rotated
770406,10,10,0,490,490,190,False
723588,500,10,0,380,340,270,False
747081,10,500,0,500,310,210,False
769851,510,500,0,510,300,210,False
782716,880,10,0,260,410,290,True
743369,10,810,0,310,180,380,False
743369,510,800,0,310,180,380,False
759180,1020,500,0,180,300,290,True
772345,500,350,0,240,140,220,False
747080,20,20,380,510,310,200,False
793592,20,330,380,460,400,170,False
747084,530,20,380,500,310,200,False
715009,480,330,380,490,260,240,False
752303,480,590,380,430,330,210,False
776661,20,730,380,460,270,220,False
747075,970,330,380,200,500,210,True
760191,1030,20,380,170,300,290,True
747688,30,30,670,500,260,210,False
760194,530,30,670,510,250,210,False
739002,30,290,670,420,280,210,False
705889,450,290,670,510,240,200,False
755655,450,530,670,510,240,200,False
765862,30,570,670,360,270,240,False
708130,960,290,670,240,400,220,True
760995,960,690,670,240,310,240,True
710638,450,770,670,310,230,240,False
777562,30,840,670,280,160,200,False
727952,1040,30,670,140,250,210,True
707700,760,770,670,190,210,120,True
705196,40,40,910,460,300,160,False
717037,500,40,910,480,250,180,False
726612,40,340,910,460,250,180,False
765093,500,340,910,450,250,180,False
733658,40,590,910,370,290,180,False
761780,500,590,910,430,320,140,False
740923,950,340,910,240,460,160,True
704027,980,40,910,180,290,290,True
733004,40,880,910,240,120,90,False
781504,50,50,1200,460,310,130,False
600591,510,50,1200,470,310,120,False
601472,50,360,1200,290,260,230,False
600595,340,360,1200,460,310,120,False
705024,800,360,1200,370,270,170,False
701630,340,670,1200,420,310,130,False
718245,50,620,1200,290,290,200,False
705054,800,630,1200,290,260,220,False
760192,980,50,1200,170,300,290,True
740973,60,60,1490,420,310,130,False
704806,480,60,1490,400,200,210,False
784270,60,370,1490,410,310,130,False
765043,470,370,1490,360,240,190,False
765043,60,680,1490,360,240,190,False
704603,830,370,1490,200,390,210,True
702794,470,610,1490,360,260,170,False
779923,880,60,1490,310,250,200,False
704025,1030,370,1490,170,290,290,True
708262,470,870,1490,310,130,180,False
743755,1030,660,1490,140,290,120,True
787325,70,70,1780,470,310,110,False
762673,540,70,1780,420,310,120,False
762766,70,380,1780,420,310,120,False
762651,490,380,1780,420,310,120,False
762670,70,690,1780,420,310,120,False
705162,490,690,1780,340,250,180,False
712063,910,380,1780,210,400,180,True
733729,960,70,1780,240,310,180,True
700391,80,80,1960,350,270,160,False
710584,430,80,1960,350,270,160,False
705517,80,350,1960,400,250,150,False
758123,780,80,1960,310,250,190,False
708188,480,350,1960,400,200,180,False
771039,80,600,1960,320,250,180,False
789416,480,550,1960,400,300,120,False
731022,880,350,1960,310,420,110,True
764568,880,770,1960,310,210,200,False
737729,90,90,2160,360,260,150,False
739103,450,90,2160,360,260,150,False
707785,90,350,2160,350,200,200,False
786337,810,90,2160,260,250,210,False
703438,440,350,2160,310,240,180,False
746430,90,550,2160,350,270,140,False
747087,750,350,2160,440,200,150,False
762769,750,550,2160,420,280,110,False
704539,440,590,2160,250,340,150,True
795060,90,820,2160,310,180,180,False
760804,100,100,2370,350,230,150,False
775950,100,330,2370,330,250,140,False
749022,430,330,2370,330,250,140,False
785571,760,330,2370,370,270,110,False
700781,450,100,2370,290,210,180,False
779160,100,580,2370,290,400,90,True
772900,760,600,2370,340,260,110,False
762924,430,580,2370,310,230,130,False
728889,740,100,2370,320,230,120,False
763558,430,810,2370,310,180,150,False
752576,110,110,2550,490,240,90,False
724280,600,110,2550,320,240,120,False
731408,110,350,2550,280,210,150,False
720600,390,350,2550,310,230,120,False
770673,700,350,2550,310,230,120,False
761191,390,580,2550,310,230,120,False
774627,700,580,2550,310,230,120,False
750676,110,560,2550,230,310,120,True
723035,920,110,2550,250,190,170,False
767988,390,810,2550,260,190,130,False
774727,700,810,2550,260,190,130,False
767725,1010,350,2550,180,260,120,True
732527,120,120,2720,310,230,120,False
764825,430,120,2720,310,230,120,False
713749,120,350,2720,310,230,120,False
704051,430,350,2720,380,280,80,False
704053,810,350,2720,370,280,80,False
739254,740,120,2720,260,210,140,False
749236,430,630,2720,320,210,110,False
787557,810,630,2720,360,260,70,False
746241,120,580,2720,260,350,70,True

ExecutionTime,0.001 seconds
FillRate,52.79%
