SKU,X,Y,Z,Len,Wid,Hgt,Rot
771759,0,0,0,310,600,220,True
747083,310,0,0,310,510,200,True
767133,620,0,0,270,510,200,True
740702,890,0,0,310,390,160,True
769681,0,600,0,240,400,220,True
770593,310,600,0,200,400,140,True
784268,510,600,0,290,400,90,True
704051,800,600,0,380,280,80,False
704052,510,600,140,280,370,80,True
704053,790,600,140,280,370,80,True
700381,0,0,220,310,250,340,False
743889,310,0,220,260,580,300,True
769429,570,0,220,260,550,280,True
744914,830,0,220,370,280,190,False
704760,0,250,220,270,350,290,True
701172,830,280,220,360,270,160,False
704948,0,600,220,310,250,340,False
750419,310,600,220,200,400,130,True
704054,510,600,220,280,370,80,True
768879,790,600,220,280,370,80,True
708183,0,850,220,310,140,180,False
707477,310,600,350,200,380,210,True
708124,510,600,350,330,390,260,True
765043,840,600,350,360,240,190,False
708260,840,840,350,310,140,180,False
743757,0,850,400,290,140,120,False
766166,830,0,410,350,280,70,False
787729,830,280,410,360,260,90,False
793270,310,0,520,260,410,290,True
704515,570,0,520,300,500,310,True
754230,870,0,520,240,500,270,True
792221,310,410,520,250,160,150,False
748979,0,0,560,310,240,240,False
705055,0,250,560,300,350,240,True
710638,0,600,560,310,230,240,False
707785,310,600,560,200,350,200,True
737449,0,850,560,310,140,180,False
703307,510,600,610,190,390,180,True
758869,700,600,610,130,250,160,True
765044,840,600,610,360,240,190,False
764075,0,850,740,240,140,220,False
777882,310,600,760,200,350,150,True
747690,510,600,790,190,300,290,True
772302,0,0,800,310,210,200,False
752316,0,250,800,300,340,240,True
700831,0,600,800,310,210,190,False
756966,840,600,800,320,240,230,False
701857,310,0,810,260,320,210,True
747688,570,0,830,260,500,210,True
705082,870,0,830,330,450,200,True
775556,310,600,910,200,270,170,True
795060,0,600,990,310,180,180,False
718910,0,0,1000,280,210,90,False
700401,310,0,1020,230,320,230,True
704759,870,0,1030,270,450,220,True
718199,840,600,1030,320,210,200,False
764492,570,0,1040,260,310,210,True
705153,0,250,1040,250,340,180,True
782997,570,310,1040,260,180,130,False
761787,310,600,1080,180,260,120,True
704027,510,600,1080,180,290,290,True
762119,0,0,1090,280,210,90,False
704044,0,600,1170,290,180,290,False
765351,0,0,1180,280,210,90,False
741171,310,600,1200,180,250,210,True
771039,0,250,1220,250,320,180,True
787240,840,600,1230,290,210,80,False
733715,310,0,1250,230,300,140,True
799888,570,0,1250,260,250,210,False
765860,870,0,1250,270,350,240,True
699704,310,0,1390,220,300,210,True
769721,0,250,1400,240,320,130,True
704969,870,0,1490,270,290,200,True
603417,0,250,1530,240,310,130,True
719620,310,0,1600,220,290,210,True
700363,0,250,1660,240,310,120,True
712150,870,0,1690,220,290,120,True
703336,0,250,1780,230,310,120,True
765667,310,0,1810,220,280,90,True
710303,0,250,1900,230,310,120,True
733148,0,250,2020,230,310,120,True
733153,0,250,2140,230,310,120,True
734951,0,250,2260,230,310,120,True
734994,0,250,2380,230,310,120,True
735863,0,250,2500,230,310,120,True
737112,0,250,2620,230,310,120,True
767737,0,250,2740,230,310,120,True
769344,0,250,2860,230,310,120,True
771117,0,250,2980,230,310,120,True
790202,0,250,3100,230,310,120,True

Execution,0.004s
Fill,35.05%
