SKU,X,Y,Z,Len,Wid,Hgt,Rot
723015,0,0,0,390,500,190,True
705053,390,0,0,220,500,190,True
788710,610,0,0,340,490,170,True
737218,950,0,0,250,330,140,True
752576,0,500,0,240,490,90,True
601032,390,500,0,310,470,120,True
739512,700,500,0,310,460,120,True
752587,0,500,90,220,440,90,True
746241,390,500,120,260,350,70,True
764227,0,0,190,240,500,270,True
743808,240,0,190,140,410,200,True
747090,390,0,190,310,500,200,True
764806,700,0,190,460,310,120,False
704603,0,500,190,390,200,210,False
708129,390,500,190,320,460,250,True
776661,710,500,190,270,460,220,True
601468,980,500,190,220,360,180,True
704801,0,700,190,390,200,210,False
769412,700,0,310,420,280,80,False
752322,390,0,390,310,430,210,True
705196,700,0,390,460,300,160,False
779650,700,300,390,260,190,130,False
747678,0,500,400,300,200,290,False
704801,0,700,400,390,200,210,False
704861,390,500,440,280,460,280,True
737881,710,500,440,270,460,200,True
700936,980,500,440,220,290,170,True
708128,0,0,460,240,400,220,True
768171,240,0,460,140,410,200,True
770103,700,0,550,170,300,290,True
704027,870,0,550,290,180,290,False
704798,700,300,550,400,200,210,False
704944,390,0,600,310,250,340,False
780148,390,250,600,310,170,170,False
707776,0,700,610,340,190,190,False
765858,710,500,640,270,360,250,True
719620,980,500,640,220,290,210,True
787172,240,0,660,140,410,200,True
708130,0,0,680,240,400,220,True
788268,0,500,690,260,190,130,False
765046,390,500,720,280,380,160,True
704806,700,300,760,400,200,210,False
792221,390,250,770,250,160,150,False
705913,0,700,800,310,190,200,False
786653,0,500,820,250,180,130,False
748877,700,0,840,130,250,160,True
736249,870,0,840,280,210,110,False
738774,980,500,850,210,280,110,True
703675,240,0,860,140,310,180,True
733842,390,500,880,230,380,190,True
765043,710,500,890,240,360,190,True
756966,0,0,900,240,320,230,True
704948,390,0,940,310,250,340,False
743369,390,250,940,310,180,380,False
739254,870,0,950,260,210,140,False
738779,980,500,960,210,280,110,True
736957,700,300,970,400,200,210,False
743369,0,700,1000,310,180,380,False
710638,390,500,1070,230,310,240,True
761446,980,500,1070,210,280,110,True
766369,710,500,1080,240,260,210,True
700404,0,0,1130,230,320,230,True
743369,700,300,1180,310,180,380,False
798439,980,500,1180,210,280,100,True
743369,390,0,1280,310,180,380,False
716177,980,500,1280,210,280,90,True
761666,390,500,1310,230,310,240,True
763548,390,250,1320,310,180,150,False
763098,0,0,1360,230,320,230,True
717911,980,500,1370,210,280,90,True
761658,980,500,1460,210,280,90,True
704002,390,500,1550,230,310,230,True
704002,0,0,1590,230,310,230,True
704002,390,500,1780,230,310,230,True
704010,0,0,1820,230,310,230,True
704024,390,500,2010,230,310,230,True
704024,0,0,2050,230,310,230,True
712818,390,500,2240,230,310,230,True
761235,0,0,2280,230,310,230,True
704592,390,500,2470,210,310,200,True
748207,0,0,2510,210,310,200,True
764568,390,500,2670,210,310,200,True
700831,0,0,2710,210,310,190,True

Execution,0.004s
Fill,37.73%
