SKU,X,Y,Z,Length,Width,Height,Rotated
780136,10,10,0,600,290,210,False
769955,10,300,0,520,310,210,False
769851,530,300,0,510,300,210,False
704757,610,10,0,510,270,200,False
704757,10,610,0,510,270,200,False
764501,530,600,0,450,270,220,False
736946,1040,300,0,140,410,190,True
767653,1040,710,0,140,250,210,True
758869,530,870,0,250,130,160,False
748873,10,880,0,260,120,150,False
764501,20,20,220,450,270,220,False
764501,470,20,220,450,270,220,False
773888,20,290,220,450,270,220,False
722105,470,290,220,450,270,220,False
722105,20,560,220,450,270,220,False
722105,470,560,220,450,270,220,False
722105,920,290,220,270,450,220,True
760191,20,830,220,300,170,290,False
723035,920,20,220,250,190,170,False
739294,920,740,220,260,210,140,False
722146,30,30,510,450,270,220,False
722146,480,30,510,450,270,220,False
722146,30,300,510,450,270,220,False
704768,480,300,510,450,270,220,False
704768,30,570,510,450,270,220,False
704768,480,570,510,450,270,220,False
794985,930,300,510,270,450,220,True
794985,40,40,730,450,270,220,False
794985,490,40,730,450,270,220,False
785841,40,310,730,500,250,210,False
736860,540,310,730,510,250,200,False
699960,40,560,730,460,260,210,False
773849,540,560,730,410,280,210,False
765790,40,820,730,300,180,290,False
732023,1050,310,730,120,550,80,True
779666,50,50,1020,380,260,210,False
774924,430,50,1020,310,250,260,False
752326,50,310,1020,370,280,190,False
752326,420,310,1020,370,280,190,False
752326,50,590,1020,370,280,190,False
752326,790,310,1020,370,280,190,False
744914,420,590,1020,370,280,190,False
744914,790,590,1020,370,280,190,False
794864,740,50,1020,450,250,160,False
744914,60,60,1280,370,280,190,False
761780,60,340,1280,430,320,140,False
781504,490,340,1280,460,310,130,False
728771,430,60,1280,300,200,290,False
728771,60,660,1280,300,200,290,False
728771,490,650,1280,300,200,290,False
704739,730,60,1280,290,200,300,False
704739,950,340,1280,200,290,300,True
704739,950,630,1280,200,290,300,True
736672,70,70,1580,470,310,120,False
774750,540,70,1580,450,240,160,False
705039,70,380,1580,370,230,200,False
718744,440,380,1580,420,310,130,False
718245,70,610,1580,290,290,200,False
733842,440,690,1580,380,230,190,False
704754,860,380,1580,300,190,290,False
704754,860,570,1580,300,190,290,False
704754,860,760,1580,300,190,290,False
741799,990,70,1580,190,300,290,True
777659,80,80,1870,310,230,230,False
739224,80,310,1870,410,260,150,False
704740,390,80,1870,290,190,290,False
704740,490,310,1870,290,190,290,False
704740,80,570,1870,290,190,290,False
737239,780,310,1870,360,260,160,False
741170,680,80,1870,290,220,230,False
703896,490,500,1870,250,390,150,True
740582,780,570,1870,360,270,150,False
719620,80,760,1870,290,220,210,False
737119,90,90,2160,360,270,150,False
732529,90,360,2160,420,310,110,False
742078,450,90,2160,290,220,200,False
765934,510,360,2160,390,210,150,False
707776,90,670,2160,340,190,190,False
705913,740,90,2160,310,190,200,False
767505,510,570,2160,350,270,120,False
797502,900,360,2160,270,350,120,True
778742,900,710,2160,210,290,110,True
746243,100,100,2360,370,200,140,False
747346,470,100,2360,370,200,140,False
700986,100,300,2360,350,260,110,False
724354,450,300,2360,340,260,110,False
705106,100,560,2360,300,230,140,False
770952,790,300,2360,330,260,110,False
769412,450,560,2360,280,420,80,True
740713,790,560,2360,310,240,120,False
733228,100,790,2360,280,210,110,False
740757,110,110,2500,310,240,120,False
724311,420,110,2500,310,230,120,False
720600,110,350,2500,310,230,120,False
771117,730,110,2500,310,230,120,False
710301,420,350,2500,310,230,120,False
703338,110,580,2500,310,230,120,False
704051,730,350,2500,380,280,80,False
788720,730,630,2500,360,260,90,False
756481,420,580,2500,270,370,70,True
729523,120,120,2620,280,210,90,False
718910,400,120,2620,280,210,90,False
732023,120,330,2620,550,120,80,False
732023,120,450,2620,550,120,80,False
732023,120,570,2620,550,120,80,False

ExecutionTime,0.001 seconds
FillRate,53.69%
