SKU,X,Y,Z,Length,Width,Height,Rotated
704040,10,10,0,500,300,320,False
704515,510,10,0,500,300,310,False
704962,10,310,0,520,340,210,False
708129,530,310,0,460,320,250,False
708124,10,650,0,390,330,260,False
769790,530,630,0,330,320,270,False
708118,990,310,0,210,490,250,True
704784,1010,10,0,190,300,290,True
708196,400,650,0,130,310,180,True
708262,860,630,0,130,310,180,True
753048,990,800,0,210,150,220,False
766485,20,20,320,510,310,210,False
708120,20,330,320,450,410,160,False
723017,530,20,320,580,260,190,False
704757,470,330,320,510,270,200,False
704757,470,600,320,510,270,200,False
700381,20,740,320,310,250,340,False
747085,980,330,320,210,510,200,True
772345,330,740,320,140,240,220,True
748877,470,870,320,250,130,160,False
720141,980,840,320,210,150,140,False
704757,30,30,660,510,270,200,False
704757,540,30,660,510,270,200,False
704757,30,300,660,510,270,200,False
704757,540,300,660,510,270,200,False
704757,30,570,660,510,270,200,False
704757,540,570,660,510,270,200,False
755958,30,840,660,410,140,200,False
794818,540,840,660,410,140,190,False
714798,1050,300,660,150,280,200,True
737449,1050,580,660,140,310,180,True
747746,40,40,860,330,320,260,False
704760,370,40,860,350,270,290,False
764501,40,360,860,450,270,220,False
764501,720,40,860,450,270,220,False
764501,490,360,860,450,270,220,False
764501,40,630,860,450,270,220,False
764501,490,630,860,450,270,220,False
699960,940,360,860,260,460,210,True
769927,940,820,860,260,180,190,False
764501,50,50,1150,450,270,220,False
764501,500,50,1150,450,270,220,False
764501,50,320,1150,450,270,220,False
764501,500,320,1150,450,270,220,False
764501,50,590,1150,450,270,220,False
764501,500,590,1150,450,270,220,False
705889,950,320,1150,240,510,200,True
708194,50,860,1150,310,140,180,False
708194,500,860,1150,310,140,180,False
739294,950,50,1150,210,260,140,True
764501,60,60,1370,450,270,220,False
764501,510,60,1370,450,270,220,False
764501,60,330,1370,450,270,220,False
764501,510,330,1370,450,270,220,False
764501,60,600,1370,450,270,220,False
764501,510,600,1370,450,270,220,False
747085,960,330,1370,210,510,200,True
739254,960,60,1370,210,260,140,True
764501,70,70,1590,450,270,220,False
722105,520,70,1590,450,270,220,False
704768,70,340,1590,450,270,220,False
704768,520,340,1590,450,270,220,False
704768,70,610,1590,450,270,220,False
704768,520,610,1590,450,270,220,False
747086,970,340,1590,210,510,200,True
717579,970,70,1590,200,250,150,True
704768,80,80,1810,450,270,220,False
704768,530,80,1810,450,270,220,False
704768,80,350,1810,450,270,220,False
704768,530,350,1810,450,270,220,False
704768,80,620,1810,450,270,220,False
704768,530,620,1810,450,270,220,False
743369,980,350,1810,180,310,380,True
743369,980,660,1810,180,310,380,True
761787,980,80,1810,180,260,120,True
721355,90,90,2190,400,290,230,False
740703,90,380,2190,490,330,160,False
739022,490,90,2190,420,280,210,False
739002,580,380,2190,420,280,210,False
705470,90,710,2190,350,270,230,False
743369,580,660,2190,310,180,380,False
743369,1000,380,2190,180,310,380,True
704957,910,90,2190,290,270,210,False
705911,1000,690,2190,180,300,290,True
708260,580,840,2190,310,140,180,False
743757,440,710,2190,140,290,120,True
765091,100,100,2570,460,260,180,False
747075,560,100,2570,500,200,210,False
762017,100,360,2570,440,220,210,False
715092,540,360,2570,450,250,180,False
765093,540,610,2570,450,250,180,False
