SKU,X,Y,Z,Length,Width,Height,Rotated
793592,0,0,0,500,400,200,False
747092,500,0,0,550,350,200,False
703671,1050,0,0,150,350,200,True
747951,0,400,0,350,550,200,True
723017,350,400,0,600,300,200,False
700936,950,400,0,250,300,200,True
747085,350,700,0,550,250,200,False
736238,900,700,0,300,250,150,False
747084,0,0,200,500,350,200,False
788710,500,0,200,500,350,200,False
769982,1000,0,200,200,350,200,True
704076,0,350,200,500,350,150,False
704078,500,350,200,500,350,150,False
780148,1000,350,200,200,350,200,True
704757,0,700,200,550,300,200,False
704757,550,700,200,550,300,200,False
737114,0,0,400,500,350,150,False
608864,500,0,400,450,350,150,False
603418,950,0,400,250,350,150,True
705564,0,350,400,450,350,150,False
707290,450,350,400,450,350,150,False
705450,900,350,400,300,350,150,True
739240,0,700,400,450,300,150,False
769412,450,700,400,450,300,100,False
782051,900,700,400,300,250,150,False
704052,0,0,550,400,300,100,False
704053,400,0,550,400,300,100,False
704053,800,0,550,400,300,100,False
704055,0,300,550,400,300,100,False
704055,400,300,550,400,300,100,False
704097,800,300,550,400,300,100,False
717852,0,600,550,300,400,100,True
717852,300,600,550,300,400,100,True
751266,600,600,550,300,400,100,True
784268,900,600,550,300,400,100,True
704757,0,0,650,550,300,200,False
705196,550,0,650,500,300,200,False
758869,1050,0,650,150,250,200,True
739508,0,300,650,450,350,200,False
742004,450,300,650,450,350,200,False
710584,900,300,650,300,350,200,True
752304,0,650,650,450,350,200,False
762368,450,650,650,450,350,200,False
777058,900,650,650,300,350,200,True
710693,0,0,850,450,350,150,False
715303,450,0,850,450,350,150,False
705450,900,0,850,300,350,150,True
761780,0,350,850,450,350,150,False
764815,450,350,850,450,350,150,False
716445,900,350,850,300,350,150,True
723622,0,700,850,400,300,150,False
738943,400,700,850,400,300,150,False
765852,800,700,850,400,300,150,False
747093,0,0,1000,550,350,250,False
784270,550,0,1000,450,350,150,False
764219,1000,0,1000,200,300,150,True
747688,0,350,1000,500,300,250,False
747854,500,350,1000,500,300,250,False
717596,1000,350,1000,200,250,150,True
737881,0,650,1000,500,300,200,False
747085,500,650,1000,550,250,200,False
723018,1050,650,1000,150,250,150,True
700599,0,0,1250,450,300,250,False
700648,450,0,1250,450,300,250,False
799888,900,0,1250,300,250,250,False
700675,0,300,1250,450,300,250,False
704759,450,300,1250,450,300,250,False
