SKU,X,Y,Z,Length,Width,Height,Rotated
747092,0,0,0,550,350,200,False
713677,550,0,0,500,350,200,False
703675,1050,0,0,150,350,200,True
600591,0,350,0,500,350,150,False
600594,500,350,0,500,350,150,False
775554,1000,350,0,200,300,200,True
701728,0,700,0,550,250,200,False
781589,550,700,0,550,250,200,False
717852,0,0,200,400,300,100,False
766081,400,0,200,400,300,100,False
768879,800,0,200,400,300,100,False
787557,0,300,200,400,300,100,False
746241,400,300,200,350,300,100,False
760779,750,300,200,350,300,100,False
781020,0,600,200,350,300,100,False
761256,350,600,200,350,250,100,False
785593,700,600,200,350,250,100,False
765369,0,0,300,500,350,150,False
781504,500,0,300,500,350,150,False
731023,1000,0,300,200,300,100,True
798377,0,350,300,500,350,150,False
703171,500,350,300,450,350,150,False
704579,950,350,300,250,350,200,True
739070,0,700,300,450,300,150,False
757250,450,700,300,450,300,150,False
718245,900,700,300,300,300,200,False
761780,0,0,500,450,350,150,False
765214,450,0,500,450,350,150,False
705450,900,0,500,300,350,150,True
757271,0,350,500,450,300,150,False
799564,450,350,500,450,300,150,False
737251,900,350,500,300,250,150,False
723620,0,650,500,400,300,150,False
739102,400,650,500,400,300,150,False
769600,800,650,500,400,300,150,False
785571,0,0,650,400,300,150,False
789416,400,0,650,400,300,150,False
790275,800,0,650,400,300,150,False
705451,0,300,650,350,300,150,False
716445,350,300,650,350,300,150,False
728931,700,300,650,350,300,150,False
737988,0,600,650,350,300,150,False
739008,350,600,650,350,300,150,False
739044,700,600,650,350,300,150,False
744565,0,0,800,400,350,200,False
760193,400,0,800,500,250,200,False
700202,900,0,800,300,250,200,False
764136,0,350,800,250,500,200,True
706623,0,850,800,350,150,200,False
708192,350,850,800,350,150,200,False
708194,700,850,800,350,150,200,False
722705,250,350,800,300,400,200,True
737239,550,350,800,300,400,200,True
739054,850,350,800,350,300,150,False
715009,0,0,1000,500,300,250,False
747894,500,0,1000,550,250,250,False
722021,0,300,1000,450,300,250,False
722822,450,300,1000,450,300,250,False
699704,900,300,1000,300,250,250,False
708118,0,600,1000,500,250,250,False
785841,500,600,1000,500,250,250,False
716773,1000,600,1000,200,250,200,True
708260,0,850,1000,350,150,200,False
708262,350,850,1000,350,150,200,False
727177,0,0,1250,400,300,250,False
712316,400,0,1250,550,200,200,False
707700,950,0,1250,250,200,150,False
724472,0,300,1250,350,300,250,False
733576,350,300,1250,350,300,250,False
753571,700,300,1250,350,300,250,False
762386,0,600,1250,350,300,250,False
764492,350,600,1250,350,300,250,False
765860,700,600,1250,350,300,250,False
750103,0,0,1500,550,350,300,False
704512,550,0,1500,500,300,300,False
754230,0,350,1500,500,250,300,False
708130,500,350,1500,400,250,250,False
789452,900,350,1500,300,250,300,False
704760,0,600,1500,350,300,300,False
769792,350,600,1500,350,300,250,False
781549,700,600,1500,350,300,250,False
740589,0,0,1800,350,300,150,False
746430,350,0,1800,350,300,150,False
762731,700,0,1800,350,300,150,False
765943,0,300,1800,350,300,150,False
770952,350,300,1800,350,300,150,False
772900,700,300,1800,350,300,150,False
747087,0,600,1800,450,200,150,False
746596,450,600,1800,400,200,150,False
746742,0,800,1800,400,200,150,False
750419,400,800,1800,400,200,150,False
796664,0,0,1950,350,300,250,False
747075,350,0,1950,500,200,250,False
707564,850,0,1950,350,200,250,False
769681,0,300,1950,250,400,250,True
794870,0,700,1950,400,250,200,False
770122,400,700,1950,450,200,250,False
722009,250,300,1950,450,200,200,False
783437,700,300,1950,450,200,200,False
789728,250,500,1950,450,200,200,False
704805,700,500,1950,400,200,250,False
714643,0,0,2200,350,250,150,False
722878,350,0,2200,350,250,150,False
723041,700,0,2200,350,250,150,False
724280,0,250,2200,350,250,150,False
734994,350,250,2200,350,250,150,False
740713,700,250,2200,350,250,150,False
740757,0,500,2200,350,250,150,False
750676,350,500,2200,350,250,150,False
755724,700,500,2200,350,250,150,False
761191,0,750,2200,350,250,150,False
761695,350,750,2200,350,250,150,False
785085,700,750,2200,350,250,150,False
704002,0,0,2350,350,250,250,False
704010,350,0,2350,350,250,250,False
704014,700,0,2350,350,250,250,False
704016,0,250,2350,350,250,250,False
704024,350,250,2350,350,250,250,False
712817,700,250,2350,350,250,250,False
761221,0,500,2350,350,250,250,False
761671,350,500,2350,350,250,250,False
761674,700,500,2350,350,250,250,False
765675,0,750,2350,350,250,250,False
765686,350,750,2350,350,250,250,False
790926,700,750,2350,350,250,250,False
714779,0,0,2600,350,250,200,False
752579,350,0,2600,350,250,200,False
778781,700,0,2600,350,250,200,False
795875,0,250,2600,350,250,100,False
753284,350,250,2600,400,200,250,False
741180,0,500,2600,300,250,250,False
799830,300,500,2600,300,250,250,False
799888,600,500,2600,300,250,250,False
740721,900,500,2600,300,250,150,False
741549,0,750,2600,300,250,150,False
786243,300,750,2600,300,250,150,False
765667,600,750,2600,300,250,100,False
787240,900,750,2600,300,250,100,False
704025,0,0,2850,300,200,300,False
704027,300,0,2850,300,200,300,False
704044,600,0,2850,300,200,300,False
704049,900,0,2850,300,200,300,False
704740,0,200,2850,300,200,300,False
705900,300,200,2850,300,200,300,False
728771,600,200,2850,300,200,300,False
747690,900,200,2850,300,200,300,False
769853,0,400,2850,300,200,300,False

ExecutionTime,0.008 seconds
FillRate,75.48%
