SKU,X,Y,Z,Len,Wid,Hgt,Rot
725278,0,0,0,490,500,200,True
600591,490,0,0,310,470,120,True
704078,800,0,0,310,460,120,True
737114,0,500,0,460,310,120,False
764806,490,500,0,310,460,120,True
738769,800,500,0,330,440,100,True
746264,0,810,0,270,180,70,False
769412,490,0,120,280,420,80,True
703269,800,0,120,390,260,70,False
703951,0,500,120,370,280,80,False
704256,490,500,120,280,370,80,True
768879,800,500,120,370,280,80,False
704040,0,0,200,300,500,320,True
766131,300,0,200,190,450,170,True
754230,490,0,200,240,500,270,True
747075,730,0,200,200,500,210,True
746430,930,0,200,270,350,140,True
767135,0,500,200,450,270,220,False
782770,490,500,200,270,450,220,True
761780,760,500,200,430,320,140,False
733187,0,770,200,310,230,170,False
738855,760,500,340,360,270,80,False
761787,300,0,370,180,260,120,True
735615,930,0,410,270,360,60,True
705470,0,500,420,350,270,230,False
702589,490,500,420,270,360,110,True
752322,760,500,420,430,310,210,False
705165,0,770,420,310,230,140,False
736946,760,810,420,410,140,190,False
765705,490,0,470,240,310,230,True
769709,730,0,470,420,310,190,False
783097,730,310,470,340,180,170,False
779171,0,0,520,300,380,120,True
705913,300,0,520,190,310,200,True
737721,490,500,530,260,360,150,True
748207,0,770,560,310,210,200,False
704948,760,500,630,250,310,340,True
704044,1010,500,630,180,290,290,True
703675,760,810,630,310,140,180,False
766036,0,0,640,210,380,150,True
705451,0,500,650,350,260,120,False
708255,730,0,660,420,200,240,False
741175,730,310,660,250,190,220,False
701857,490,500,680,260,320,210,True
768200,490,0,700,210,310,200,True
747554,300,0,720,180,310,170,True
716607,0,770,760,200,210,190,True
601472,0,500,770,290,260,230,False
731999,0,0,790,210,280,90,True
708183,760,810,810,310,140,180,False
754462,0,0,880,150,280,200,True
794621,730,310,880,250,140,210,False
704049,300,0,890,180,290,290,True
762386,490,500,890,260,310,210,True
708260,490,0,900,140,310,180,True
774324,730,0,900,400,200,140,False
774924,760,500,970,250,310,260,True
767725,1010,500,970,180,260,120,True
723018,760,810,990,250,140,150,False
761658,0,500,1000,280,210,90,False
750419,730,0,1040,400,200,130,False
758869,0,0,1080,130,250,160,True
767745,0,500,1090,280,210,90,False
766237,490,500,1100,250,310,250,True
717596,730,0,1170,250,200,150,False
763305,0,500,1180,280,210,80,False
702245,760,500,1230,240,310,130,True
702261,490,500,1350,240,310,130,True
700363,760,500,1360,240,310,120,True
603418,490,500,1480,230,310,120,True
701080,760,500,1480,230,310,120,True
714146,490,500,1600,230,300,140,True
733723,760,500,1600,230,300,140,True

Execution,0.003s
Fill,47.79%
