PalletId,421
Address,C
ExecutionTime,4.575 seconds

SKU,X,Y,Z,Length,Width,Height,Rotated
763370,0,0,0,350,250,450,False
769789,350,0,0,450,350,250,False
752303,350,350,0,450,350,250,False
704965,800,0,0,350,450,250,True
752322,800,450,0,350,450,250,True
752303,0,250,0,350,450,250,True
704759,350,700,0,450,300,250,False
767962,0,700,0,350,300,300,False
728165,0,0,450,450,350,200,False
752304,450,0,450,450,350,200,False
710475,450,350,450,450,350,200,False
752304,0,350,450,450,350,200,False
747085,900,0,450,250,550,200,True
711064,450,700,450,400,300,200,False
711135,0,700,450,400,300,200,False
770750,900,550,450,250,450,200,True
751518,0,0,650,500,350,150,False
765369,500,0,650,500,350,150,False
781504,500,350,650,500,350,150,False
601571,0,350,650,500,350,150,False
739087,500,700,650,450,300,150,False
739145,0,700,650,450,300,150,False
746261,1000,0,650,200,400,150,True
746286,1000,400,650,200,400,150,True
762671,0,0,800,300,200,400,False
733601,300,0,800,400,300,200,False
733601,700,0,800,400,300,200,False
733658,700,300,800,400,300,200,False
733666,700,600,800,400,300,200,False
733674,300,300,800,400,300,200,False
733674,300,600,800,400,300,200,False
754913,0,200,800,300,400,200,True
765046,0,600,800,300,400,200,True
736957,0,0,1200,400,200,250,False
736961,400,0,1200,400,200,250,False
704603,800,0,1200,400,200,250,False
700309,800,200,1200,400,200,250,False
704602,800,400,1200,400,200,250,False
704801,800,600,1200,400,200,250,False
736957,800,800,1200,400,200,250,False
736961,400,200,1200,400,200,250,False
700309,400,400,1200,400,200,250,False
722260,400,600,1200,400,250,200,False
736961,0,200,1200,400,200,250,False
704798,0,400,1200,400,200,250,False
704801,0,600,1200,400,200,250,False
704805,0,800,1200,400,200,250,False
708196,400,850,1200,350,150,200,False
705423,0,0,1450,350,300,150,False
705450,350,0,1450,350,300,150,False
705451,700,0,1450,350,300,150,False
737989,700,300,1450,350,300,150,False
738980,700,600,1450,350,300,150,False
738986,350,300,1450,350,300,150,False
738991,350,600,1450,350,300,150,False
739008,0,300,1450,350,300,150,False
739044,0,600,1450,350,300,150,False
732023,1050,0,1450,150,550,100,True
758652,1050,550,1450,150,300,150,True
705217,0,0,1600,300,250,200,False
742078,300,0,1600,300,250,200,False
705199,600,0,1600,300,250,200,False
710865,900,0,1600,300,250,200,False
742078,900,250,1600,300,250,200,False
705199,900,500,1600,300,250,200,False
705187,900,750,1600,300,250,200,False
705199,600,250,1600,300,250,200,False
705217,600,500,1600,300,250,200,False
798189,600,750,1600,300,250,200,False
705217,300,250,1600,300,250,200,False
700936,300,500,1600,300,250,200,False
710865,300,750,1600,300,250,200,False
700781,0,250,1600,300,250,200,False
710865,0,500,1600,300,250,200,False
761701,0,750,1600,300,250,200,False
724280,0,0,1800,350,250,150,False
726985,350,0,1800,350,250,150,False
728652,700,0,1800,350,250,150,False
733147,700,250,1800,350,250,150,False
734588,700,500,1800,350,250,150,False
735863,700,750,1800,350,250,150,False
736854,350,250,1800,350,250,150,False
737147,350,500,1800,350,250,150,False
739364,350,750,1800,350,250,150,False
740713,0,250,1800,350,250,150,False
740714,0,500,1800,350,250,150,False
748966,0,750,1800,350,250,150,False
747929,0,0,1950,300,200,200,False
746155,300,0,1950,400,200,150,False
748724,700,0,1950,400,300,100,False
750419,700,300,1950,400,200,150,False
756686,700,500,1950,400,300,100,False
732604,300,200,1950,400,300,100,False
738855,300,500,1950,400,300,100,False
750419,700,800,1950,400,200,150,False
765932,300,800,1950,400,200,150,False
747346,0,200,1950,200,400,150,True
750419,0,600,1950,200,400,150,True

FillRate,73.17%
