SKU,X,Y,Z,Length,Width,Height,Rotated
704962,10,10,0,520,340,210,False
723015,10,350,0,500,390,190,False
747090,530,10,0,500,310,200,False
793270,510,350,0,410,260,290,False
747688,10,740,0,500,260,210,False
769015,510,610,0,350,270,250,False
765841,920,350,0,260,350,240,True
704049,920,700,0,180,290,290,True
708175,1030,10,0,140,310,180,True
752303,20,20,290,430,330,210,False
728165,450,20,290,440,330,180,False
747086,20,350,290,510,210,200,False
747075,530,350,290,500,200,210,False
600591,20,560,290,470,310,120,False
600594,530,550,290,470,310,120,False
762108,890,20,290,310,240,230,False
708183,530,860,290,310,140,180,False
708184,20,870,290,310,130,180,False
746557,1030,350,290,150,260,180,True
774750,30,30,520,450,240,160,False
705699,30,270,520,460,310,120,False
600595,490,270,520,460,310,120,False
736825,30,580,520,460,310,120,False
704078,490,580,520,460,310,120,False
700404,480,30,520,320,230,230,False
765044,800,30,520,360,240,190,False
707477,950,270,520,200,380,210,True
741175,950,650,520,190,250,220,True
739512,40,40,750,460,310,120,False
703171,500,40,750,420,310,130,False
796664,40,350,750,310,260,210,False
704957,350,350,750,290,270,210,False
704956,40,610,750,290,270,210,False
765369,640,350,750,470,310,110,False
701172,640,660,750,360,270,160,False
700885,350,620,750,290,220,230,False
704587,920,40,750,210,310,200,True
746265,350,840,750,210,160,190,False
737255,50,50,980,360,270,150,False
741367,50,320,980,420,310,110,False
766135,410,50,980,450,190,160,False
740617,470,320,980,330,250,160,False
708212,50,630,980,310,210,200,False
704579,860,50,980,310,210,200,False
799564,800,320,980,280,420,110,True
700831,470,570,980,310,210,190,False
700936,470,780,980,290,220,170,False
739294,800,740,980,260,210,140,False
739136,60,60,1180,410,270,110,False
771903,470,60,1180,360,260,130,False
785915,60,330,1180,380,210,150,False
729925,830,60,1180,360,270,120,False
735865,440,330,1180,350,270,120,False
738991,60,540,1180,350,270,120,False
786316,790,330,1180,350,270,120,False
781909,440,600,1180,260,360,120,True
705423,790,600,1180,350,260,120,False
770973,60,810,1180,340,180,170,False
774189,70,70,1350,330,260,120,False
764630,400,70,1350,360,260,110,False
700986,70,330,1350,350,260,110,False
737101,420,330,1350,460,310,70,False
772900,760,70,1350,340,260,110,False
714146,70,590,1350,300,230,140,False
706364,420,640,1350,350,270,100,False
765976,880,330,1350,260,330,110,True
724280,880,660,1350,240,320,120,True
717852,80,80,1490,360,260,100,False
740713,440,80,1490,310,240,120,False
767590,80,340,1490,310,240,120,False
734980,750,80,1490,440,220,90,False
768957,390,340,1490,310,230,120,False
603416,80,580,1490,310,230,120,False
731325,700,340,1490,310,230,120,False
767746,390,570,1490,310,230,120,False
724174,700,570,1490,310,230,120,False
733149,90,90,1610,310,230,120,False
714643,400,90,1610,310,230,120,False
722878,90,320,1610,310,230,120,False
713749,710,90,1610,310,230,120,False
788720,400,320,1610,360,260,90,False
734965,760,320,1610,330,250,90,False
766168,400,580,1610,360,270,70,False
737251,90,550,1610,280,210,110,False
748648,760,570,1610,280,210,110,False
761948,90,760,1610,280,210,110,False
761903,760,780,1610,280,210,110,False
769439,100,100,1730,290,210,90,False
761682,390,100,1730,280,210,90,False
731999,100,310,1730,280,210,90,False
761658,670,100,1730,280,210,90,False
787240,380,310,1730,290,210,80,False

ExecutionTime,0.001 seconds
FillRate,55.64%
